Energy (eV),Wavelength (A),Cross Section (Mb)
8357.735,1.48,0.0001
8370.13,1.48,0.0001
8382.525,1.48,0.0001
8394.919,1.48,0.0001
8407.314,1.47,0.0001
8419.709,1.47,0.0001
8432.103,1.47,0.0001
8444.498,1.47,0.0001
8456.893,1.47,0.0001
8469.288,1.46,0.0001
8481.682,1.46,0.0001
8494.077,1.46,0.0001
8506.472,1.46,0.0001
8518.866,1.46,0.0001
8531.261,1.45,0.0001
8543.656,1.45,0.0001
8556.05,1.45,0.0001
8568.445,1.45,0.0001
8580.84,1.44,0.0001
8593.234,1.44,0.0001
8605.629,1.44,0.0001
8618.024,1.44,0.0001
8630.418,1.44,0.0001
8642.813,1.43,0.0001
8655.208,1.43,0.0001
8667.602,1.43,0.0001
8679.997,1.43,0.0001
8692.392,1.43,0.0001
8704.786,1.42,0.0001
8717.181,1.42,0.0001
8729.576,1.42,0.0001
8741.97,1.42,0.0001
8754.365,1.42,0.0001
8766.76,1.41,0.0001
8779.154,1.41,0.0001
8791.549,1.41,0.0001
8803.944,1.41,0.0001
8816.338,1.41,0.0001
8828.733,1.4,0.0001
8841.128,1.4,0.0001
8853.522,1.4,0.0001
8865.917,1.4,0.0001
8878.312,1.4,0.0001
8890.707,1.39,0.0001
8903.101,1.39,0.0001
8915.496,1.39,0.0001
8927.891,1.39,0.0001
8940.285,1.39,0.0001
8952.68,1.38,0.0001
8965.075,1.38,0.0001
8977.469,1.38,0.0001
8989.864,1.38,0.0001
9002.259,1.38,0.0001
9014.653,1.38,0.0001
9027.048,1.37,0.0001
9039.443,1.37,0.0001
9051.837,1.37,0.0001
9064.232,1.37,0.0001
9076.627,1.37,0.0001
9089.021,1.36,0.0001
9101.416,1.36,0.0001
9113.811,1.36,0.0001
9126.205,1.36,0.0001
9138.6,1.36,0.0001
9150.995,1.35,0.0001
9163.389,1.35,0.0001
9175.784,1.35,0.0001
9188.179,1.35,0.0001
9200.573,1.35,0.0001
9212.968,1.35,0.0001
9225.363,1.34,0.0001
9237.757,1.34,0.0001
9250.152,1.34,0.0001
9262.547,1.34,0.0001
9274.941,1.34,0.0001
9287.336,1.33,0.0001
9299.731,1.33,0.0001
9312.126,1.33,0.0001
9324.52,1.33,0.0001
9336.915,1.33,0.0001
9349.31,1.33,0.0001
9361.704,1.32,0.0001
9374.099,1.32,0.0001
9386.494,1.32,0.0001
9398.888,1.32,0.0001
9411.283,1.32,0.0001
9423.678,1.32,0.0001
9436.072,1.31,0.0001
9448.467,1.31,0.0001
9460.862,1.31,0.0001
9473.256,1.31,0.0001
9485.651,1.31,0.0001
9498.046,1.31,0.0001
9510.44,1.3,0.0001
9522.835,1.3,0.0001
9535.23,1.3,0.0001
9547.624,1.3,0.0001
9560.019,1.3,0.0001
9572.414,1.3,0.0001
9584.808,1.29,0.0001
9597.203,1.29,0.0001
9609.598,1.29,0.0001
9621.992,1.29,0.0001
9634.387,1.29,0.0001
9646.782,1.29,0.0001
9659.176,1.28,0.0001
9671.571,1.28,0.0001
9683.966,1.28,0.0001
9696.36,1.28,0.0001
9708.755,1.28,0.0001
9721.15,1.28,0.0001
9733.545,1.27,0.0001
9745.939,1.27,0.0001
9758.334,1.27,0.0001
9770.729,1.27,0.0001
9783.123,1.27,0.0001
9795.518,1.27,0.0001
9807.913,1.26,0.0001
9820.307,1.26,0.0001
9832.702,1.26,0.0001
9845.097,1.26,0.0001
9857.491,1.26,0.0001
9869.886,1.26,0.0001
9882.281,1.25,0.0001
9894.675,1.25,0.0001
9907.07,1.25,0.0001
9919.465,1.25,0.0
9931.859,1.25,0.0
9944.254,1.25,0.0
9956.649,1.25,0.0
9969.043,1.24,0.0
9981.438,1.24,0.0
9993.833,1.24,0.0
10006.227,1.24,0.0
10018.622,1.24,0.0
10031.017,1.24,0.0
10043.411,1.23,0.0
10055.806,1.23,0.0
10068.201,1.23,0.0
10080.595,1.23,0.0
10092.99,1.23,0.0
10105.385,1.23,0.0
10117.779,1.23,0.0
10130.174,1.22,0.0
10142.569,1.22,0.0
10154.964,1.22,0.0
10167.358,1.22,0.0
10179.753,1.22,0.0
10192.148,1.22,0.0
10204.542,1.21,0.0
10216.937,1.21,0.0
10229.332,1.21,0.0
10241.726,1.21,0.0
10254.121,1.21,0.0
10266.516,1.21,0.0
10278.91,1.21,0.0
10291.305,1.2,0.0
10303.7,1.2,0.0
10316.094,1.2,0.0
10328.489,1.2,0.0
10340.884,1.2,0.0
10353.278,1.2,0.0
10365.673,1.2,0.0
10378.068,1.19,0.0
10390.462,1.19,0.0
10402.857,1.19,0.0
10415.252,1.19,0.0
10427.646,1.19,0.0
10440.041,1.19,0.0
10452.436,1.19,0.0
10464.83,1.18,0.0
10477.225,1.18,0.0
10489.62,1.18,0.0
10502.014,1.18,0.0
10514.409,1.18,0.0
10526.804,1.18,0.0
10539.199,1.18,0.0
10551.593,1.18,0.0
10563.988,1.17,0.0
10576.383,1.17,0.0
10588.777,1.17,0.0
10601.172,1.17,0.0
10613.567,1.17,0.0
10625.961,1.17,0.0
10638.356,1.17,0.0
10650.751,1.16,0.0
10663.145,1.16,0.0
10675.54,1.16,0.0
10687.935,1.16,0.0
10700.329,1.16,0.0
10712.724,1.16,0.0
10725.119,1.16,0.0
10737.513,1.15,0.0
10749.908,1.15,0.0
10762.303,1.15,0.0
10774.697,1.15,0.0
10787.092,1.15,0.0
10799.487,1.15,0.0
10811.881,1.15,0.0
10824.276,1.15,0.0
10836.671,1.14,0.0
10849.065,1.14,0.0
10861.46,1.14,0.0
10873.855,1.14,0.0
10886.249,1.14,0.0
10898.644,1.14,0.0
10911.039,1.14,0.0
10923.433,1.14,0.0
10935.828,1.13,0.0
10948.223,1.13,0.0
10960.618,1.13,0.0
10973.012,1.13,0.0
10985.407,1.13,0.0
10997.802,1.13,0.0
11010.196,1.13,0.0
11022.591,1.12,0.0
11034.986,1.12,0.0
11047.38,1.12,0.0
11059.775,1.12,0.0
11072.17,1.12,0.0
11084.564,1.12,0.0
11096.959,1.12,0.0
11109.354,1.12,0.0
11121.748,1.11,0.0
11134.143,1.11,0.0
11146.538,1.11,0.0
11158.932,1.11,0.0
11171.327,1.11,0.0
11183.722,1.11,0.0
11196.116,1.11,0.0
11208.511,1.11,0.0
11220.906,1.1,0.0
11233.3,1.1,0.0
11245.695,1.1,0.0
11258.09,1.1,0.0
11270.484,1.1,0.0
11282.879,1.1,0.0
11295.274,1.1,0.0
11307.668,1.1,0.0
11320.063,1.1,0.0
11332.458,1.09,0.0
11344.852,1.09,0.0
11357.247,1.09,0.0
11369.642,1.09,0.0
11382.037,1.09,0.0
11394.431,1.09,0.0
11406.826,1.09,0.0
11419.221,1.09,0.0
11431.615,1.08,0.0
11444.01,1.08,0.0
11456.405,1.08,0.0
11468.799,1.08,0.0
11481.194,1.08,0.0
11493.589,1.08,0.0
11505.983,1.08,0.0
11518.378,1.08,0.0
11530.773,1.08,0.0
11543.167,1.07,0.0
11555.562,1.07,0.0
11567.957,1.07,0.0
11580.351,1.07,0.0
11592.746,1.07,0.0
11605.141,1.07,0.0
11617.535,1.07,0.0
11629.93,1.07,0.0
11642.325,1.06,0.0
11654.719,1.06,0.0
11667.114,1.06,0.0
11679.509,1.06,0.0
11691.903,1.06,0.0
11704.298,1.06,0.0
11716.693,1.06,0.0
11729.087,1.06,0.0
11741.482,1.06,0.0
11753.877,1.05,0.0
11766.271,1.05,0.0
11778.666,1.05,0.0
11791.061,1.05,0.0
11803.456,1.05,0.0
11815.85,1.05,0.0
11828.245,1.05,0.0
11840.64,1.05,0.0
11853.034,1.05,0.0
11865.429,1.04,0.0
11877.824,1.04,0.0
11890.218,1.04,0.0
11902.613,1.04,0.0
11915.008,1.04,0.0
11927.402,1.04,0.0
11939.797,1.04,0.0
11952.192,1.04,0.0
11964.586,1.04,0.0
11976.981,1.04,0.0
11989.376,1.03,0.0
12001.77,1.03,0.0
12014.165,1.03,0.0
12026.56,1.03,0.0
12038.954,1.03,0.0
12051.349,1.03,0.0
12063.744,1.03,0.0
12076.138,1.03,0.0
12088.533,1.03,0.0
12100.928,1.02,0.0
12113.322,1.02,0.0
12125.717,1.02,0.0
