Energy (eV),Wavelength (A),Cross Section (Mb)
60.911,203.55,0.0877
61.052,203.08,0.0871
61.193,202.61,0.0865
61.335,202.14,0.0859
61.476,201.68,0.0853
61.617,201.22,0.0847
61.758,200.76,0.0841
61.9,200.3,0.0835
62.041,199.84,0.083
62.182,199.39,0.0824
62.323,198.94,0.0818
62.465,198.49,0.0813
62.606,198.04,0.0807
62.747,197.59,0.0802
62.888,197.15,0.0797
63.03,196.71,0.0791
63.171,196.27,0.0786
63.312,195.83,0.0781
63.453,195.39,0.0775
63.595,194.96,0.077
63.736,194.53,0.0765
63.877,194.1,0.076
64.018,193.67,0.0755
64.16,193.24,0.075
64.301,192.82,0.0745
64.442,192.4,0.074
64.583,191.98,0.0735
64.725,191.56,0.073
64.866,191.14,0.0726
65.007,190.72,0.0721
65.148,190.31,0.0716
65.29,189.9,0.0711
65.431,189.49,0.0707
65.572,189.08,0.0702
65.713,188.67,0.0698
65.855,188.27,0.0693
65.996,187.87,0.0689
66.137,187.47,0.0684
66.278,187.07,0.068
66.42,186.67,0.0675
66.561,186.27,0.0671
66.702,185.88,0.0667
66.843,185.48,0.0663
66.985,185.09,0.0658
67.126,184.7,0.0654
67.267,184.32,0.065
67.408,183.93,0.0646
67.55,183.55,0.0642
67.691,183.16,0.0638
67.832,182.78,0.0634
67.973,182.4,0.063
68.114,182.02,0.0626
68.256,181.65,0.0622
68.397,181.27,0.0618
68.538,180.9,0.0614
68.679,180.53,0.061
68.821,180.16,0.0607
68.962,179.79,0.0603
69.103,179.42,0.0599
69.244,179.05,0.0595
69.386,178.69,0.0592
69.527,178.33,0.0588
69.668,177.96,0.0585
69.809,177.6,0.0581
69.951,177.24,0.0577
70.092,176.89,0.0574
70.233,176.53,0.057
70.374,176.18,0.0567
70.516,175.82,0.0563
70.657,175.47,0.056
70.798,175.12,0.0557
70.939,174.77,0.0553
71.081,174.43,0.055
71.222,174.08,0.0547
71.363,173.74,0.0543
71.504,173.39,0.054
71.646,173.05,0.0537
71.787,172.71,0.0534
71.928,172.37,0.0531
72.069,172.03,0.0527
72.211,171.7,0.0524
72.352,171.36,0.0521
72.493,171.03,0.0518
72.634,170.7,0.0515
72.776,170.36,0.0512
72.917,170.03,0.0509
73.058,169.71,0.0506
73.199,169.38,0.0503
73.341,169.05,0.05
73.482,168.73,0.0497
73.623,168.4,0.0494
73.764,168.08,0.0491
73.906,167.76,0.0489
74.047,167.44,0.0486
74.188,167.12,0.0483
74.329,166.8,0.048
74.47,166.49,0.0477
74.612,166.17,0.0475
74.753,165.86,0.0472
74.894,165.55,0.0469
75.035,165.23,0.0467
75.177,164.92,0.0464
75.318,164.61,0.0461
75.459,164.31,0.0459
75.6,164.0,0.0456
75.742,163.69,0.0453
75.883,163.39,0.0451
76.024,163.08,0.0448
76.165,162.78,0.0446
76.307,162.48,0.0443
76.448,162.18,0.0441
76.589,161.88,0.0438
76.73,161.58,0.0436
76.872,161.29,0.0433
77.013,160.99,0.0431
77.154,160.7,0.0429
77.295,160.4,0.0426
77.437,160.11,0.0424
77.578,159.82,0.0422
77.719,159.53,0.0419
77.86,159.24,0.0417
78.002,158.95,0.0415
78.143,158.66,0.0412
78.284,158.38,0.041
78.425,158.09,0.0408
78.567,157.81,0.0406
78.708,157.52,0.0403
78.849,157.24,0.0401
78.99,156.96,0.0399
79.132,156.68,0.0397
79.273,156.4,0.0395
79.414,156.12,0.0393
79.555,155.85,0.039
79.697,155.57,0.0388
79.838,155.29,0.0386
79.979,155.02,0.0384
80.12,154.75,0.0382
80.262,154.47,0.038
80.403,154.2,0.0378
80.544,153.93,0.0376
80.685,153.66,0.0374
80.827,153.4,0.0372
80.968,153.13,0.037
81.109,152.86,0.0368
81.25,152.6,0.0366
81.391,152.33,0.0364
81.533,152.07,0.0362
81.674,151.8,0.036
81.815,151.54,0.0358
81.956,151.28,0.0356
82.098,151.02,0.0355
82.239,150.76,0.0353
82.38,150.5,0.0351
82.521,150.24,0.0349
82.663,149.99,0.0347
82.804,149.73,0.0345
82.945,149.48,0.0344
83.086,149.22,0.0342
83.228,148.97,0.034
83.369,148.72,0.0338
83.51,148.47,0.0337
83.651,148.22,0.0335
83.793,147.97,0.0333
83.934,147.72,0.0331
84.075,147.47,0.033
84.216,147.22,0.0328
84.358,146.97,0.0326
84.499,146.73,0.0325
84.64,146.48,0.0323
84.781,146.24,0.0321
84.923,146.0,0.032
85.064,145.75,0.0318
85.205,145.51,0.0316
85.346,145.27,0.0315
85.488,145.03,0.0313
85.629,144.79,0.0312
85.77,144.55,0.031
85.911,144.32,0.0309
86.053,144.08,0.0307
86.194,143.84,0.0305
86.335,143.61,0.0304
86.476,143.37,0.0302
86.618,143.14,0.0301
86.759,142.91,0.0299
86.9,142.67,0.0298
87.041,142.44,0.0296
87.183,142.21,0.0295
87.324,141.98,0.0294
87.465,141.75,0.0292
87.606,141.52,0.0291
87.748,141.3,0.0289
87.889,141.07,0.0288
88.03,140.84,0.0286
88.171,140.62,0.0285
88.312,140.39,0.0284
88.454,140.17,0.0282
88.595,139.94,0.0281
88.736,139.72,0.0279
88.877,139.5,0.0278
89.019,139.28,0.0277
89.16,139.06,0.0275
89.301,138.84,0.0274
89.442,138.62,0.0273
89.584,138.4,0.0271
89.725,138.18,0.027
89.866,137.97,0.0269
90.007,137.75,0.0267
90.149,137.53,0.0266
90.29,137.32,0.0265
90.431,137.1,0.0264
90.572,136.89,0.0262
90.714,136.68,0.0261
90.855,136.46,0.026
90.996,136.25,0.0259
91.137,136.04,0.0257
91.279,135.83,0.0256
91.42,135.62,0.0255
91.561,135.41,0.0254
91.702,135.2,0.0253
91.844,134.99,0.0251
91.985,134.79,0.025
92.126,134.58,0.0249
92.267,134.37,0.0248
92.409,134.17,0.0247
92.55,133.96,0.0246
92.691,133.76,0.0244
92.832,133.56,0.0243
92.974,133.35,0.0242
93.115,133.15,0.0241
93.256,132.95,0.024
93.397,132.75,0.0239
93.539,132.55,0.0238
93.68,132.35,0.0237
93.821,132.15,0.0235
93.962,131.95,0.0234
94.104,131.75,0.0233
94.245,131.56,0.0232
94.386,131.36,0.0231
94.527,131.16,0.023
94.668,130.97,0.0229
94.81,130.77,0.0228
94.951,130.58,0.0227
95.092,130.38,0.0226
95.233,130.19,0.0225
95.375,130.0,0.0224
95.516,129.8,0.0223
95.657,129.61,0.0222
95.798,129.42,0.0221
95.94,129.23,0.022
96.081,129.04,0.0219
96.222,128.85,0.0218
96.363,128.66,0.0217
96.505,128.47,0.0216
96.646,128.29,0.0215
96.787,128.1,0.0214
96.928,127.91,0.0213
97.07,127.73,0.0212
97.211,127.54,0.0211
97.352,127.36,0.021
97.493,127.17,0.0209
97.635,126.99,0.0208
97.776,126.8,0.0207
97.917,126.62,0.0206
98.058,126.44,0.0205
98.2,126.26,0.0205
