Energy_eV,Sigma_Mb
39.568621094827094,3.8155207555996484
39.70440536564873,3.762735904661145
39.84018963647037,3.710794644217559
39.975973907292015,3.6596814992736446
40.11175817811366,3.6093813337437863
40.247542448935306,3.5598792623458726
40.38332671975695,3.51116067386283
40.51911099057859,3.4632113091109096
40.654895261400235,3.4160172542895526
40.79067953222187,3.3695648602691888
40.92646380304352,3.32384071353673
41.06224807386516,3.2788316830310915
41.19803234468681,3.2345249432258933
41.333816615508454,3.1909079323802736
41.4696008863301,3.147968320740726
41.60538515715174,3.10569403276285
41.74116942797338,3.0640732626113905
41.87695369879502,3.023094437945103
42.012737969616666,2.9827461887580435
42.14852224043831,2.943017375752306
42.284306511259956,2.903897125769676
42.4200907820816,2.865374800156961
42.55587505290324,2.827439931781581
42.691659323724885,2.7900822247451837
