r,u,V
33.485580934574095,1.920954727990311e-13,-0.029863600155358005
33.49558260151692,1.9024061083223155e-13,-0.029854682986010007
33.50558426845975,1.8840364249944589e-13,-0.029845771140345197
33.51558593540257,1.8658439535518458e-13,-0.02983686461359753
33.5255876023454,1.8478269861410297e-13,-0.029827963401006626
33.53558926928822,1.829983831350115e-13,-0.02981906749781781
33.545590936231044,1.8123128140508832e-13,-0.029810176899282052
33.555592603173864,1.7948122752420925e-13,-0.029801291600656005
33.56559427011669,1.7774805718943508e-13,-0.029792411597201956
33.57559593705951,1.760316076796607e-13,-0.02978353688418786
33.58559760400234,1.7433171784040153e-13,-0.029774667456887286
33.59559927094516,1.7264822806873184e-13,-0.02976580331057945
33.605600937887985,1.70980980298339e-13,-0.029756944440549174
33.615602604830805,1.6932981798479017e-13,-0.029748090842086905
33.62560427177363,1.6769458609085533e-13,-0.029739242510488675
33.63560593871645,1.6607513107203038e-13,-0.029730399441056134
33.64560760565928,1.6447130086218612e-13,-0.029721561629096494
33.655609272602106,1.62882944859331e-13,-0.029712729069922564
33.665610939544926,1.6130991391155738e-13,-0.02970390175885272
33.67561260648775,1.597520603030622e-13,-0.029695079691210893
33.68561427343057,1.5820923774036895e-13,-0.029686262862326573
33.6956159403734,1.5668130133861758e-13,-0.02967745126753479
33.70561760731622,1.551681076080382e-13,-0.02966864490217612
33.71561927425905,1.536695144405223e-13,-0.029659843761596652
33.72562094120187,1.5218538109633413e-13,-0.029651047841148016
33.735622608144695,1.5071556819095756e-13,-0.029642257136187337
33.745624275087515,1.4925993768205188e-13,-0.029633471642077264
33.75562594203034,1.4781835285653643e-13,-0.029624691354185915
33.76562760897316,1.4639067831782652e-13,-0.02961591626788692
33.77562927591599,1.4497677997315303e-13,-0.029607146378559372
33.78563094285881,1.4357652502102174e-13,-0.029598381681587856
33.795632609801636,1.4218978193879866e-13,-0.02958962217236239
33.80563427674446,1.4081642047040933e-13,-0.02958086784627848
33.81563594368728,1.3945631161414718e-13,-0.029572118698737066
33.82563761063011,1.381093276106183e-13,-0.029563374725144517
33.83563927757293,1.3677534193078195e-13,-0.029554635920912654
33.84564094451576,1.3545422926411612e-13,-0.029545902281458696
33.85564261145858,1.3414586550690114e-13,-0.02953717380220531
33.865644278401405,1.3285012775060917e-13,-0.02952845047858053
33.875645945344225,1.315668942704043e-13,-0.029519732306017836
33.88564761228705,1.3029604451375534e-13,-0.029511019279956054
33.89564927922987,1.2903745908915767e-13,-0.02950231139583943
33.9056509461727,1.2779101975496953e-13,-0.029493608649117556
33.91565261311552,1.265566094083399e-13,-0.029484911035245424
33.925654280058346,1.2533411207426622e-13,-0.029476218549683346
33.935655947001166,1.2412341289472818e-13,-0.029467531187897026
33.94565761394399,1.2292439811795684e-13,-0.029458848945357476
33.95565928088682,1.2173695508778118e-13,-0.029450171817541074
33.96566094782964,1.2056097223309055e-13,-0.02944149979992951
33.97566261477247,1.193963390573978e-13,-0.029432832888009797
33.98566428171529,1.182429461284948e-13,-0.029424171077274266
33.995665948658115,1.1710068506822102e-13,-0.029415514363220534
34.005667615600935,1.1596944854231383e-13,-0.029406862741351545
34.01566928254376,1.148491302503713e-13,-0.029398216207175504
34.02567094948658,1.1373962491589636e-13,-0.029389574756205922
34.03567261642941,1.1264082827645106e-13,-0.029380938383961556
34.04567428337223,1.1155263707390926e-13,-0.029372307085966453
34.055675950315056,1.1047494904477444e-13,-0.029363680857749905
34.065677617257876,1.094076629106123e-13,-0.029355059694846464
34.0756792842007,1.0835067836859772e-13,-0.02934644359279591
34.08568095114352,1.0730389608208173e-13,-0.029337832547143276
34.09568261808635,1.062672176713432e-13,-0.0293292265534388
34.10568428502918,1.05240545704347e-13,-0.029320625607237968
34.115685951972,1.0422378368763934e-13,-0.029312029704101458
34.125687618914824,1.0321683605731317e-13,-0.02930343883959515
34.135689285857644,1.0221960817005819e-13,-0.02929485300929014
34.14569095280047,1.0123200629431618e-13,-0.02928627220876269
34.15569261974329,1.0025393760149215e-13,-0.02927769643359426
34.16569428668612,9.92853101572738e-14,-0.029269125679371476
34.17569595362894,9.832603291301795e-14,-0.02926055994168614
34.185697620571766,9.737601569724025e-14,-0.029251999216135194
34.195699287514586,9.643516920716102e-14,-0.029243443498320754
34.20570095445741,9.550340500035154e-14,-0.029234892783850056
34.21570262140023,9.458063548645484e-14,-0.0292263470683355
34.22570428834306,9.366677391898477e-14,-0.029217806347394588
34.23570595528588,9.276173438719773e-14,-0.029209270616649963
34.24570762222871,9.186543180806608e-14,-0.029200739871729366
34.255709289171534,9.097778191829038e-14,-0.02919221410826565
34.265710956114354,9.009870126643611e-14,-0.029183693321896787
34.27571262305718,8.922810720509021e-14,-0.029175177508265798
34.28571429,8.836591788314858e-14,-0.029166666663020833
34.29571595694283,8.751205223813742e-14,-0.02915816078181508
34.30571762388565,8.666642998863218e-14,-0.029149659860306827
34.315719290828476,8.582897162672993e-14,-0.0291411638941594
34.325720957771296,8.499959841061192e-14,-0.029132672879041203
34.33572262471412,8.417823235717209e-14,-0.029124186810625657
