E_pe,sigma_free,sigma_confined,dipole_D
1.1086868686868687,0.008442589438729848,0.002178020631034199,0.11721565169350351
1.1237373737373737,0.008213146517813434,0.0021594314896125084,0.11618592254875815
1.1387878787878787,0.007990632721931453,0.002140103429635737,0.11514579623595537
1.1538383838383839,0.007776223534138136,0.002119872792349876,0.11409061641335917
1.1688888888888889,0.007570498927725804,0.0020986059703880272,0.11301651235715568
1.1839393939393938,0.0073711013292687075,0.0020761997379076837,0.11192039669197829
1.198989898989899,0.007179774669949536,0.0020525812385964602,0.11079995638714016
1.214040404040404,0.0069952016099504855,0.002027707529528493,0.10965363498290952
1.229090909090909,0.006816036680618822,0.0020015644737080666,0.1084806008978201
1.2441414141414142,0.006643687014959527,0.0019741652580254065,0.10728070943587178
1.2591919191919192,0.006476293623445406,0.0019455483744774808,0.10605445399865518
1.2742424242424242,0.006313734348617569,0.0019157750836728857,0.10480290659167874
1.2892929292929294,0.006157094284646056,0.001884926666925291,0.10352765532739105
1.3043434343434344,0.006004722308953764,0.0018531013071656345,0.1022307337979646
1.3193939393939393,0.005857295664155458,0.00182041078216001,0.10091454638886187
1.3344444444444445,0.005715359913578183,0.0017869772280046502,0.09958179571754089
1.3494949494949495,0.005577443916362583,0.0017529298182204194,0.09823540705556873
1.3645454545454545,0.005444315793981538,0.0017184016021870381,0.0968784556340123
1.3795959595959595,0.0053159445996712774,0.00168352666521729,0.09551410076142841
1.3946464646464647,0.005190981065023928,0.0016484374377535493,0.09414552145069043
1.4096969696969697,0.005070106476245208,0.0016132623790355758,0.0927758595550222
1.4247474747474747,0.004953111904686156,0.001578124100032671,0.09140817223234844
1.4397979797979799,0.0048389067038814996,0.0015431377240431154,0.0900453880500417
1.4548484848484848,0.004728229149971334,0.001508409663922781,0.08869027203032723
1.4698989898989898,0.004620976130761644,0.0014740368179821885,0.08734540012891381
1.484949494949495,0.004516315554661494,0.001440105962516842,0.08601313708192636
1.5,0.0044149862703100635,0.0014066934793374735,0.08469562208993778
